time_real,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
jsontrip-sample,,,94607.,0.,,,94607.,0.,,,491520.,0.
kb,,,380928.,0.,,,323584.,0.,,,565248.,0.
kb-no-exc,,,434176.,nan,,,356352.,nan,,,646656.,0.
lexifi-g2pp,,,140259.,0.,,,148451.,0.,,,593408.,0.
menhir-fancy,,,357664.,0.,,,357664.,0.,,,491520.,0.
menhir-sql,,,36561784.,nan,,,28873595.,nan,,,43174400.,0.
menhir-standard,,,323978.,0.,,,323978.,0.,,,491520.,0.
minilight,,,856666.,0.,,,729690.,0.,,,748032.,0.
numal-durand-kerner-aberth,,,53248.,0.,,,61440.,0.,,,565248.,0.
numal-fft,,,73334802.,0.,,,40931346.,0.,,,129609728.,0.
numal-k-means,,,560227.,0.,,,564323.,0.,,,596992.,0.
numal-levinson-durbin,,,301886.,0.,,,304451.,0.,,,565248.,0.
numal-lu-decomposition,,,7035930.,0.,,,7764208.,0.,,,8068096.,0.
numal-naive-multilayer,,,69986.,0.,,,69986.,0.,,,565248.,0.
numal-qr-decomposition,,,375842.,0.,,,334674.,0.,,,491520.,0.
numal-rnd_access,,,200032771.,0.,,,200032771.,0.,,,360491520.,0.
numal-simple_access,,,192855299.,0.,,,220200195.,0.,,,224531968.,0.
patdiff,,,,,,,,,,,3861504.,0.
sequence,,,32768.,0.,,,36864.,0.,,,565248.,0.
sequence-cps,,,32768.,0.,,,32768.,0.,,,565248.,0.
setrip,,,65539.,0.,,,65539.,0.,,,565248.,0.
setrip-smallbuf,,,65539.,0.,,,65539.,0.,,,565248.,0.

minor_collections,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,44.,0.,1.,0.,44.,0.,1.,0.,44.,0.,44.,0.
bdd,292.,0.,291.,0.,292.,0.,292.,0.,292.,0.,295.,0.
cpdf-merge,759.,0.,696.,nan,759.,0.,759.,nan,759.,0.,772.,0.
cpdf-reformat,1712.,0.,1685.,nan,1712.,0.,1689.,nan,1712.,0.,1725.,0.
cpdf-squeeze,1541.,0.,1513.,0.,1541.,0.,1510.,0.,1541.,0.,1560.,0.
cpdf-transform,214.,0.,212.,0.,214.,0.,214.,0.,214.,0.,220.,0.
frama-c-deflate,,,,,,,,,,,9450.33333333,0.57735026919
frama-c-idct,,,,,,,,,,,93.,nan
jsontrip-sample,27.,0.,18.,0.,27.,0.,18.,0.,27.,0.,28.,0.
kb,345.,0.,342.,0.,345.,0.,345.,0.,345.,0.,385.,0.
kb-no-exc,143.,0.,142.,nan,143.,0.,143.,nan,143.,0.,168.,0.
lexifi-g2pp,6403.,0.,6348.,0.,6403.,0.,6049.,0.,6403.,0.,6409.,0.
menhir-fancy,10.,0.,5.,0.,10.,0.,5.,0.,10.,0.,9.,0.
menhir-sql,3964.,0.,3857.,nan,3964.,0.,3909.,nan,3964.,0.,3967.,0.
menhir-standard,6.,0.,4.,0.,6.,0.,4.,0.,6.,0.,5.,0.
minilight,37181.,0.,36824.,0.,37181.,0.,36811.,0.,37181.,0.,37211.,0.
numal-durand-kerner-aberth,295.,0.,292.,0.,295.,0.,286.,0.,295.,0.,338.,0.
numal-fft,1376.,0.,171.,0.,1376.,0.,183.,0.,1376.,0.,185.,0.
numal-k-means,390.,0.,2.,0.,390.,0.,2.,0.,390.,0.,391.,0.
numal-levinson-durbin,3817.,0.,3817.,0.,3817.,0.,3817.,0.,3817.,0.,4885.,0.
numal-lu-decomposition,2097.,0.,29.,0.,2097.,0.,1891.,0.,2097.,0.,2097.,0.
numal-naive-multilayer,8280.,0.,8274.,0.,8280.,0.,8254.,0.,8280.,0.,8352.,0.
numal-qr-decomposition,6528.,0.,6347.,0.,6528.,0.,6445.,0.,6528.,0.,6552.,0.
numal-rnd_access,763.,0.,1.,0.,763.,0.,1.,0.,763.,0.,763.,0.
numal-simple_access,2442.,0.,791.,0.,2442.,0.,916.,0.,2442.,0.,2446.,0.
patdiff,,,,,,,,,,,151.,0.
sequence,2862.,0.,2860.,0.,2862.,0.,2849.,0.,2862.,0.,2931.,0.
sequence-cps,5726.,0.,5723.,0.,5726.,0.,5724.,0.,5726.,0.,6176.,0.
setrip,650.,0.,634.,0.,650.,0.,627.,0.,650.,0.,656.,0.
setrip-smallbuf,650.,0.,634.,0.,650.,0.,626.,0.,650.,0.,655.,0.

major_collections,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,3.,0.,1.,0.,3.,0.,1.,0.,3.,0.,0.,0.
bdd,10.,0.,7.,0.,10.,0.,9.,0.,10.,0.,5.,0.
cpdf-merge,58.,0.,42.,nan,58.,0.,285.,nan,58.,0.,24.,0.
cpdf-reformat,55.,0.,41.,nan,55.,0.,202.,nan,55.,0.,24.,0.
cpdf-squeeze,69.,0.,50.,0.,69.,0.,278.,0.,69.,0.,32.,0.
cpdf-transform,31.,0.,21.,0.,31.,0.,63.,0.,31.,0.,13.,0.
frama-c-deflate,,,,,,,,,,,24.,0.
frama-c-idct,,,,,,,,,,,5.,nan
jsontrip-sample,2.,0.,2.,0.,2.,0.,2.,0.,2.,0.,2.,0.
kb,179.,0.,95.,0.,179.,0.,162.,0.,179.,0.,63.,0.
kb-no-exc,123.,0.,85.,nan,123.,0.,112.,nan,123.,0.,40.,0.
lexifi-g2pp,60.,0.,20.,0.,59.,0.,17.,0.,60.,0.,11.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.
menhir-sql,40.,0.,21.,nan,40.,0.,132.,nan,40.,0.,17.,0.
menhir-standard,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.
minilight,190.,0.,60.,0.,190.,0.,92.,0.,190.,0.,56.,0.
numal-durand-kerner-aberth,47.,0.,43.,0.,54.,0.,25.,0.,47.,0.,85.,0.
numal-fft,118.,0.,7.,0.,118.,0.,27.,0.,118.,0.,3.,0.
numal-k-means,2.,0.,2.,0.,2.,0.,2.,0.,2.,0.,0.,0.
numal-levinson-durbin,3815.,0.,3815.,0.,3815.,0.,3813.,0.,3815.,0.,1755.,0.
numal-lu-decomposition,14.,0.,5.,0.,14.,0.,28.,0.,14.,0.,5.,0.
numal-naive-multilayer,710.,0.,234.,0.,710.,0.,169.,0.,710.,0.,143.,0.
numal-qr-decomposition,62.,0.,32.,0.,62.,0.,49.,0.,62.,0.,40.,0.
numal-rnd_access,1.,0.,1.,0.,1.,0.,1.,0.,1.,0.,0.,0.
numal-simple_access,51.,0.,7.,0.,51.,0.,916.,0.,51.,0.,8.,0.
patdiff,,,,,,,,,,,10.,0.
sequence,276.,0.,245.,0.,276.,0.,168.,0.,276.,0.,136.,0.
sequence-cps,1343.,0.,1248.,0.,1343.,0.,956.,0.,1343.,0.,898.,0.
setrip,31.,0.,21.,0.,31.,0.,15.,0.,31.,0.,10.,0.
setrip-smallbuf,31.,0.,21.,0.,31.,0.,15.,0.,31.,0.,9.,0.

compactions,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,,,,,,,,,,,0.,0.
bdd,,,,,,,,,,,0.,0.
cpdf-merge,,,,,,,,,,,0.,0.
cpdf-reformat,,,,,,,,,,,0.,0.
cpdf-squeeze,,,,,,,,,,,0.,0.
cpdf-transform,,,,,,,,,,,0.,0.
frama-c-deflate,,,,,,,,,,,0.,0.
frama-c-idct,,,,,,,,,,,0.,nan
jsontrip-sample,,,,,,,,,,,0.,0.
kb,,,,,,,,,,,3.,0.
kb-no-exc,,,,,,,,,,,3.,0.
lexifi-g2pp,,,,,,,,,,,2.,0.
menhir-fancy,,,,,,,,,,,0.,0.
menhir-sql,,,,,,,,,,,0.,0.
menhir-standard,,,,,,,,,,,0.,0.
minilight,,,,,,,,,,,0.,0.
numal-durand-kerner-aberth,,,,,,,,,,,2.,0.
numal-fft,,,,,,,,,,,0.,0.
numal-k-means,,,,,,,,,,,0.,0.
numal-levinson-durbin,,,,,,,,,,,382.,0.
numal-lu-decomposition,,,,,,,,,,,0.,0.
numal-naive-multilayer,,,,,,,,,,,2.,0.
numal-qr-decomposition,,,,,,,,,,,0.,0.
numal-rnd_access,,,,,,,,,,,0.,0.
numal-simple_access,,,,,,,,,,,0.,0.
patdiff,,,,,,,,,,,1.,0.
sequence,,,,,,,,,,,2.,0.
sequence-cps,,,,,,,,,,,2.,0.
setrip,,,,,,,,,,,2.,0.
setrip-smallbuf,,,,,,,,,,,2.,0.

heap_words,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,,,36864.,0.,,,32768.,0.,,,491520.,0.
bdd,,,507542.,0.,,,544406.,0.,,,650240.,0.
cpdf-merge,,,32442212.,nan,,,27503007.,nan,,,43174400.,0.
cpdf-reformat,,,26517234.,nan,,,16308189.,nan,,,28387328.,0.
cpdf-squeeze,,,27202597.,0.,,,20261615.,0.,,,37542912.,0.
cpdf-transform,,,6245942.,0.,,,6555829.,0.,,,14480384.,0.
frama-c-deflate,,,,,,,,,,,88571904.,0.
frama-c-idct,,,,,,,,,,,4685824.,nan
jsontrip-sample,,,94607.,0.,,,94607.,0.,,,491520.,0.
kb,,,229376.,0.,,,270336.,0.,,,430080.,0.
kb-no-exc,,,245760.,nan,,,270336.,nan,,,494592.,0.
lexifi-g2pp,,,140259.,0.,,,140259.,0.,,,163328.,0.
menhir-fancy,,,357664.,0.,,,357664.,0.,,,491520.,0.
menhir-sql,,,34251643.,nan,,,22757399.,nan,,,43174400.,0.
menhir-standard,,,323978.,0.,,,323978.,0.,,,491520.,0.
minilight,,,856666.,0.,,,729690.,0.,,,748032.,0.
numal-durand-kerner-aberth,,,53248.,0.,,,61440.,0.,,,73728.,0.
numal-fft,,,73334802.,0.,,,38309897.,0.,,,129609728.,0.
numal-k-means,,,560227.,0.,,,564323.,0.,,,596992.,0.
numal-levinson-durbin,,,202736.,0.,,,202736.,0.,,,122880.,0.
numal-lu-decomposition,,,6986778.,0.,,,7761475.,0.,,,8068096.,0.
numal-naive-multilayer,,,69986.,0.,,,69986.,0.,,,73728.,0.
numal-qr-decomposition,,,289750.,0.,,,234369.,0.,,,491520.,0.
numal-rnd_access,,,200032771.,0.,,,200032771.,0.,,,360491520.,0.
numal-simple_access,,,192855299.,0.,,,220200195.,0.,,,224531968.,0.
patdiff,,,,,,,,,,,3824640.,0.
sequence,,,32768.,0.,,,36864.,0.,,,73728.,0.
sequence-cps,,,32768.,0.,,,32768.,0.,,,73728.,0.
setrip,,,65539.,0.,,,65539.,0.,,,73728.,0.
setrip-smallbuf,,,65539.,0.,,,65539.,0.,,,73728.,0.

heap_chunks,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,,,,,,,,,,,1.,0.
bdd,,,,,,,,,,,3.,0.
cpdf-merge,,,,,,,,,,,33.,0.
cpdf-reformat,,,,,,,,,,,30.,0.
cpdf-squeeze,,,,,,,,,,,32.,0.
cpdf-transform,,,,,,,,,,,20.,0.
frama-c-deflate,,,,,,,,,,,22.,0.
frama-c-idct,,,,,,,,,,,2.,nan
jsontrip-sample,,,,,,,,,,,1.,0.
kb,,,,,,,,,,,7.,0.
kb-no-exc,,,,,,,,,,,8.,0.
lexifi-g2pp,,,,,,,,,,,2.,0.
menhir-fancy,,,,,,,,,,,1.,0.
menhir-sql,,,,,,,,,,,33.,0.
menhir-standard,,,,,,,,,,,1.,0.
minilight,,,,,,,,,,,4.,0.
numal-durand-kerner-aberth,,,,,,,,,,,1.,0.
numal-fft,,,,,,,,,,,16.,0.
numal-k-means,,,,,,,,,,,2.,0.
numal-levinson-durbin,,,,,,,,,,,2.,0.
numal-lu-decomposition,,,,,,,,,,,21.,0.
numal-naive-multilayer,,,,,,,,,,,1.,0.
numal-qr-decomposition,,,,,,,,,,,1.,0.
numal-rnd_access,,,,,,,,,,,2.,0.
numal-simple_access,,,,,,,,,,,15.,0.
patdiff,,,,,,,,,,,11.,0.
sequence,,,,,,,,,,,1.,0.
sequence-cps,,,,,,,,,,,1.,0.
setrip,,,,,,,,,,,1.,0.
setrip-smallbuf,,,,,,,,,,,1.,0.

mean_space_overhead,4.06.1+multicore+atomic-mark+bench,,4.06.1+multicore+bench,,4.06.1+multicore+cas-promotion+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore+xchg-writes+bench,,4.06.1+trunk+bench,
almabench,,,0.,0.,,,0.,0.,,,,
bdd,,,31.872438,3.64500732561e-15,,,26.129873,1.45800293024e-14,,,,
cpdf-squeeze,,,26.396463,0.,,,5.939713,0.,,,,
cpdf-transform,,,32.93405,0.,,,14.793556,0.,,,,
jsontrip-sample,,,334.905959,8.54543962895e-13,,,334.791105,1.87997831436e-12,,,,
kb,,,35.363297,7.53644380168e-15,,,19.088268,0.,,,,
lexifi-g2pp,,,104.384003,0.,,,100.418256,0.,,,,
menhir-fancy,,,0.,0.,,,0.,0.,,,,
menhir-standard,,,0.,0.,,,0.,0.,,,,
minilight,,,41.915908,0.,,,35.38582,0.,,,,
numal-durand-kerner-aberth,,,660.154283,0.,,,459.944225,4.59459884533e-13,,,,
numal-fft,,,3318.852158,0.,,,35.766939,0.,,,,
numal-k-means,,,10.199212,7.18571722086e-15,,,11.47746,5.38928791564e-15,,,,
numal-levinson-durbin,,,91.36513,1.74046714305e-14,,,91.358443,1.74046714305e-14,,,,
numal-lu-decomposition,,,14.790686,1.9860273226e-15,,,1.158627,0.,,,,
numal-naive-multilayer,,,240.896473,0.,,,210.069932,0.,,,,
numal-qr-decomposition,,,67.912241,0.,,,61.0423,0.,,,,
numal-rnd_access,,,0.,0.,,,0.,0.,,,,
numal-simple_access,,,3127.309002,0.,,,0.144502,0.,,,,
sequence,,,8092.,0.,,,7628.301887,0.,,,,
sequence-cps,,,9595.028594,0.,,,8027.621301,0.,,,,
setrip,,,637.025581,0.,,,628.602946,0.,,,,
setrip-smallbuf,,,636.528614,0.,,,627.88789,0.,,,,

